ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
A1,A-1 Skyraider,M,Douglas_A-1_Skyraider.png,AC2,3180,True,1946,1957,1973,DOUGLAS,USA,11.84,15.25,7.315,AC9,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,"needs blueprint, This is for the A-1H/J, the A-1E/G have completely different canopy.",
A10,A-10 Thunderbolt 2,M,A-10.png,AC0,716,True,1972,1984,,FAIRCHILD,USA,16.26,17.53,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,fuselage,2,,
A124,An-124 Ruslan,M,A124_3D.jpg,AC0,55,True,,,,ANTONOV,RUSSIA,69.1,73.3,,,jet,['wings'],4,L4J,high,swept,False,False,False,False,False,False,fuselage,1,,
A140,An-140,M,R.png,AC2,33,True,1997,,,ANTONOV,RUSSIA,22.61,24.51,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,1,,
A148,"An-148, An-158",M,A148.jpg,AC2,47,True,2009,,,ANTONOV,RUSSIA,29.13,28.91,,,jet,['wings'],2,L2J,high,swept,False,False,False,False,False,False,T-tail,1,,
A19N,A-319neo,C,A19N_3D.jpg,AC0,14,True,2019,,,AIRBUS,FRANCE,33.84,35.8,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
A20N,A-320neo,C,A20N_3D.jpg,AC0,1774,True,2016,,,AIRBUS,FRANCE,37.57,35.8,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
A210,A-210,C,A210.jpeg,AC2,230,True,2000,,,AQUILA,GERMANY,7.3,10.3,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
A21N,A-321neo,C,A21N_3D.jpg,AC0,1109,True,2017,,,AIRBUS,FRANCE,44.51,35.8,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
A221,"A220-100, BD-500 CSeries CS100",C,Airbus_A220.png,AC0,56,True,2016,,,AIRBUS,FRANCE,35,35.1,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
A223,"A220-300, BD-500 CSeries CS300",C,a220-300-specs-top_0.png,AC0,206,True,2016,,,AIRBUS,FRANCE,38.7,35.1,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
